,title,link,year,rating,runtime_mins,genres,votes,metascore,gross,synopsis
626,Another Round,https://www.imdb.com//title/tt10288566/,2020,7.8,117,"['Comedy', 'Drama']",84864,80.0,,Four high school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.
627,The Fighter,https://www.imdb.com//title/tt0964517/,2010,7.8,116,"['Biography', 'Drama', 'Sport']",346780,79.0,$93.62M,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness."
628,Taken,https://www.imdb.com//title/tt0936501/,2008,7.8,90,"['Action', 'Crime', 'Thriller']",572879,,$145.00M,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
629,The Boy in the Striped Pyjamas,https://www.imdb.com//title/tt0914798/,2008,7.8,94,"['Drama', 'History', 'War']",195620,,$9.03M,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences."
630,Once,https://www.imdb.com//title/tt0907657/,2007,7.8,86,"['Drama', 'Music', 'Romance']",112061,88.0,$9.44M,"A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story."
631,The Hobbit: An Unexpected Journey,https://www.imdb.com//title/tt0903624/,2012,7.8,169,"['Adventure', 'Fantasy']",769785,,$303.00M,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
632,The Edge of Heaven,https://www.imdb.com//title/tt0880502/,2007,7.8,122,['Drama'],31151,85.0,$0.74M,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.
633,Atonement,https://www.imdb.com//title/tt0783233/,2007,7.8,123,"['Drama', 'Mystery', 'Romance']",257881,85.0,$50.93M,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
634,Drive,https://www.imdb.com//title/tt0780504/,2011,7.8,100,"['Crime', 'Drama']",584847,78.0,$35.06M,A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor.
635,American Gangster,https://www.imdb.com//title/tt0765429/,2007,7.8,157,"['Biography', 'Crime', 'Drama']",400109,76.0,$130.16M,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film."
636,Avatar,https://www.imdb.com//title/tt0499549/,2009,7.8,162,"['Action', 'Adventure', 'Fantasy']",1139668,83.0,$760.51M,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
637,Mr. Nobody,https://www.imdb.com//title/tt0485947/,2009,7.8,141,"['Drama', 'Fantasy', 'Romance']",220796,63.0,$0.00M,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible."
638,Apocalypto,https://www.imdb.com//title/tt0472043/,2006,7.8,139,"['Action', 'Adventure', 'Drama']",295803,68.0,$50.87M,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression."
639,Little Miss Sunshine,https://www.imdb.com//title/tt0449059/,2006,7.8,101,"['Comedy', 'Drama']",448216,80.0,$59.89M,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
640,Hot Fuzz,https://www.imdb.com//title/tt0425112/,2007,7.8,121,"['Action', 'Comedy', 'Mystery']",474139,81.0,$23.64M,A skilled London police officer is transferred to a small town with a dark secret.
641,The Curious Case of Benjamin Button,https://www.imdb.com//title/tt0421715/,2008,7.8,166,"['Drama', 'Fantasy', 'Romance']",603180,70.0,$127.51M,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences."
